customer_id,first_name,last_name,email,city,state
C00001,Emily,Mooney,rushjeff@ryan.org,Johnsonmouth,MS
C00002,Andrea,Sellers,mccoykiara@kelly.com,Stephenfort,WY
C00003,Craig,Hayes,rebeccamiller@yahoo.com,South Stephenshire,LA
C00004,Bryan,Scott,lawrence05@campbell.info,Chrisland,ND
C00005,Sean,Vasquez,carrie45@yahoo.com,East Dennistown,RI
C00006,Kevin,Mccarthy,traceyramos@gmail.com,North Matthew,IN
C00007,Amanda,Doyle,scottallen@gmail.com,Joneshaven,VA
C00008,Paul,Campos,sullivanjeremy@horton-adams.com,South Nathanfurt,CT
C00009,Mary,Green,dennis03@yahoo.com,Kimberlyview,MD
C00010,James,Myers,charles58@murillo.net,West Hector,OK
C00011,Jacob,Le,anita65@gmail.com,Houstonfurt,AR
C00012,Chad,Banks,beardtravis@gmail.com,East Jenniferview,WI
C00013,James,Martin,jwood@gmail.com,Lake Gregoryshire,OR
C00014,Thomas,Hartman,lmoore@yahoo.com,East Tiffanybury,MS
C00015,Diane,Harris,daniellowe@hotmail.com,South Courtney,SC
C00016,Brett,Parker,amylam@collins.org,Jesusburgh,IA
C00017,Angela,Carter,rhondaferguson@gmail.com,West Loriborough,GA
C00018,Darrell,Chang,martinfrank@brooks.info,Lake Joshuamouth,OH
C00019,Angie,King,russelltimothy@simpson-hunter.com,East Anthonyland,NY
C00020,Juan,Collins,rojassandra@hotmail.com,South Oscar,NV
C00021,Brian,Hawkins,morgancraig@stephens.com,South Charles,ND
C00022,Jeanne,Hahn,pshepherd@walker-kelly.com,Harrisland,TN
C00023,Jackie,Stewart,greg64@banks.com,North Kara,NM
C00024,Heather,Owens,andreawilliams@yahoo.com,Stewartport,NM
C00025,Christina,Bennett,dawn65@yahoo.com,Port Juliebury,IN
C00026,Mark,Harris,rebecca20@yahoo.com,Ortizshire,WY
C00027,Brandy,Juarez,ashley08@mckinney.info,Mosleyburgh,NM
C00028,Barry,Baker,steven27@gmail.com,North Gregoryfurt,NM
C00029,Michael,Johnson,irandall@camacho-smith.com,Kaiserhaven,OR
C00030,Holly,Collins,cfuller@gmail.com,Port Coltonton,AL
C00031,Jeanette,Smith,kramerkaylee@hotmail.com,Travisview,CT
C00032,Alexandria,Singleton,egallegos@gmail.com,Samuelshire,KS
C00033,Carrie,Wheeler,lindasummers@hotmail.com,South Andrewchester,CO
C00034,Carol,Matthews,stacy78@gmail.com,Gregorybury,IA
C00035,Samantha,Hernandez,jnorris@gmail.com,Angelafurt,MD
C00036,Jacob,Mccoy,jesustaylor@hotmail.com,Port Nicoleborough,AR
C00037,Holly,Arnold,eric78@hotmail.com,Millerfurt,VT
C00038,Robert,Haas,ythomas@hotmail.com,Port Michaelstad,MS
C00039,Teresa,Ward,angela55@hotmail.com,Lake Michaelhaven,AL
C00040,Francisco,Horne,christianrogers@gmail.com,New Michael,TX
C00041,James,Brooks,pbarnes@hotmail.com,Allisonhaven,AK
C00042,Jenna,Lewis,hannasteven@yahoo.com,South Garrettton,IA
C00043,Margaret,Sullivan,ronnie19@hotmail.com,South Johnville,OK
C00044,Ashley,Anderson,ltran@rich.biz,Port Danielle,WY
C00045,Matthew,Lee,dkhan@hotmail.com,North Kara,OK
C00046,Justin,Collins,josephpatterson@hotmail.com,Barbaramouth,MO
